Keyword,Frequency
surgery,1602
history,1054
literature,691
education,527
evolution,365
pathology,280
probability,275
regression analysis,225
ethics,201
statistical analysis,154
meta analysis,151
machine learning,150
ethics committee,142
nervous system,141
multivariate analysis,118
pollution,116
logistic regression analysis,113
cognitive function,104
family history,101
cataract surgery,101
geometry,99
medical history,96
analysis variance,95
cardiac surgery,92
analysis revealed,87
renal function,84
epidemiology,83
central nervous system,83
learning algorithm,82
method used,77
immune system,76
algorithms,75
air pollution,73
reported literature,71
learning algorithms,69
regression model,69
analysis used,68
history diabetes,67
vlasov system,66
einstein vlasov system,61
structure function,60
algebra,59
ecology,59
univariate analysis,59
topology,58
oncology,58
crystal structure,58
physiology,58
educational level,58
blot analysis,57
scoring function,56
mouse model,55
genetics,54
biochemistry,52
cell function,52
analysis data,52
neurology,52
research ethics,50
microbiology,50
standard model,50
reinforcement learning,49
pharmacology,49
analysis using,47
used analysis,47
hoc analysis,47
analysis variance anova,46
mechanism action,46
surgery patients,46
included analysis,45
post hoc analysis,45
model used,44
calculus,43
model based,42
care system,42
descriptive statistics,41
function tests,41
way analysis,40
epilepsy surgery,40
3d method,40
review literature,39
health system,39
smoking history,39
immunotherapy,38
western blot analysis,38
method using,38
literature review,38
health care system,37
retrospective analysis,37
way analysis variance,37
algorithm based,36
analysis performed using,36
liver function,36
2d method,36
analysis conducted,35
level education,35
without history,35
functional theory,34
density functional theory,34
ms analysis,34
correlation analysis,34
multivariate logistic regression analysis,34
linear regression analysis,33
algorithm to,32
research ethics committee,32
meier method,32
kaplan meier method,32
approved ethics,32
approved ethics committee,32
analysis results,31
healthcare system,31
optimization problem,30
high probability,30
subgroup analysis,30
method based,30
field theory,30
regression analysis used,29
immunology,29
analysis also,29
economics,29
endothelial function,29
animal model,29
survival analysis,29
excluded analysis,29
radiology,29
statistical analysis performed,29
final model,29
proposed algorithm,28
lung function,28
molecular mechanism,28
loss function,28
model assessment,28
feature selection,27
algorithm based on,27
algorithms in,27
algorithm in,27
algorithms to,27
bioinformatics,27
quantum mechanics,27
relativity,27
patients history,27
sensitivity analysis,27
psychology,27
transpapillary method,27
algorithm can,26
this algorithm,26
method described,26
analysis based,26
cardiovascular system,26
one way analysis,26
type surgery,26
classification and,25
algorithm we,25
supervised learning,25
algorithm which,25
pulmonary function,25
model systems,25
inflammatory process,25
months surgery,25
optics,24
thermodynamics,24
quantitative analysis,24
analysis included,24
method applied,24
model using,24
patient history,24
cardiology,24
one way analysis variance,24
bonferroni post hoc analysis,24
comparative analysis,24
health education,24
analysis done,24
analysis study,24
surgical technique,24
neural networks,23
statistical learning,23
algorithms and,23
classification system,23
described literature,23
homeostasis model,23
homeostasis model assessment,23
cox model,23
multiple regression analysis,23
without history diabetes,23
suprapapillary method,23
convex optimization,22
data mining,22
genetic algorithm,22
general relativity,22
system used,22
new method,22
model system,22
secondary structure,22
analysis patients,22
history previous,22
published literature,22
followed bonferroni post hoc analysis,22
aging process,22
kidney function,22
pathology reports,22
nlp education,22
ocular surgery,22
adaptation process,22
clustering and,21
algorithms we,21
algorithms that,21
astrophysics,21
logistic regression model,21
regression analysis performed,21
analysis indicated,21
wave function,21
clinical history,21
statistical analysis performed using,21
recent meta analysis,21
surgery patient,21
standard method,21
using method,21
visual function,21
curve analysis,21
laparoscopic surgery,21
cost function,21
poisson system,21
vlasov poisson system,21
neural network,20
logistic regression,20
climate change,20
neuroscience,20
analysis carried,20
model developed,20
medical education,20
technique used,20
effective method,20
radical surgery,20
green function,20
pooled analysis,20
detailed analysis,20
surgery performed,20
analysis 05,20
previous history,20
participants without history,20
model also,20
cardiac surgery patients,20
weeks surgery,20
efficient algorithms,19
efficient algorithm,19
probability distributions,19
proposed method,19
prior surgery,19
mechanism underlying,19
pcr analysis,19
sampling method,19
initial surgery,19
model assessment insulin,19
model assessment insulin resistance,19
system cns,19
nervous system cns,19
central nervous system cns,19
history hypertension,19
department surgery,19
nursing education,19
process improvement,19
participants history,19
participants without history diabetes,19
surgery surgical,19
algorithms can,18
algorithm the,18
algorithm has,18
algorithms with,18
function however,18
immune function,18
rat model,18
